Cell Line,Cancer Type,Tissue,17-AAG,681640,A-443654,A-770041,ABT-263,ABT-888,AG-014699,AICAR,AKT inhibitor VIII,AMG-706,AP-24534,AS601245,ATRA,AUY922,AZ628,AZD-0530,AZD-2281,AZD6244,AZD6482,AZD7762,AZD8055,Axitinib,BAY 61-3606,BI-2536,BIBW2992,BIRB 0796,BMS-509744,BMS-536924,BMS-708163,BMS-754807,BX-795,Bexarotene,Bicalutamide,Bleomycin,Bortezomib,Bosutinib,Bryostatin 1,CCT007093,CCT018159,CEP-701,CGP-082996,CGP-60474,CHIR-99021,CI-1040,CMK,Camptothecin,Cyclopamine,Cytarabine,DMOG,Dasatinib,Docetaxel,Doxorubicin,EHT 1864,Elesclomol,Embelin,Epothilone B,Erlotinib,Etoposide,FH535,FTI-277,GDC-0449,GDC0941,GNF-2,GSK-1904529A,GSK-650394,GSK269962A,GW 441756,GW843682X,Gefitinib,Gemcitabine,IPA-3,Imatinib,JNJ-26854165,JNK Inhibitor VIII,JNK-9L,JW-7-52-1,KIN001-135,KU-55933,LAQ824,LFM-A13,Lapatinib,Lenalidomide,MG-132,MK-2206,MS-275,Methotrexate,Midostaurin,Mitomycin C,NSC-87877,NU-7441,NVP-BEZ235,NVP-TAE684,Nilotinib,Nutlin-3a,OSI-906,OSU-03012,Obatoclax Mesylate,PAC-1,PD-0325901,PD-0332991,PD-173074,PF-02341066,PF-4708671,PF-562271,PHA-665752,PLX4720,Paclitaxel,Parthenolide,Pazopanib,Pyrimethamine,QS11,RDEA119,RO-3306,Rapamycin,Roscovitine,S-Trityl-L-cysteine,SB 216763,SB590885,SL 0101-1,Salubrinal,Shikonin,Sorafenib,Sunitinib,TGX221,TW 37,Temsirolimus,Thapsigargin,Tipifarnib,VX-680,VX-702,Vinblastine,Vinorelbine,Vorinostat,WH-4-023,WZ-1-84,XMD8-85,Z-LLNle-CHO,ZM-447439
23132-87,digestive_system,stomach,-1.563772,3.742493,,,3.649499,6.166562,6.000943,8.903765,-0.275249,3.080887,3.720214,1.960418,6.309198,-2.254966,,,6.15875,6.167474,0.429147,-1.371432,-0.403206,4.917994,3.337629,,3.109446,5.559417,,,4.483207,3.773417,3.217758,5.424048,3.596395,-2.029087,,3.316331,-3.027665,5.78165,2.629948,-0.858711,,,4.534404,2.621998,,-4.47817,,-1.775686,11.082206,,-5.325733,-4.172355,4.902557,-2.217237,3.14829,-5.608871,,-0.690371,1.253861,3.477076,6.938244,-0.2487,,3.497546,2.335119,,2.933423,,3.611568,-3.145391,7.069937,,2.721687,6.345139,-0.473007,,,3.789559,-3.125028,5.778241,,6.343372,,-0.107748,,-1.479488,1.534364,-3.488925,6.872726,2.775752,-1.429263,,5.461443,3.039341,4.0592,2.82879,-0.188218,2.76181,0.057961,3.912658,5.259457,,4.00106,1.932827,,6.753041,,,5.412991,,1.803716,1.099453,6.381358,,,,,6.373648,6.876768,,0.745881,,,,-0.626076,-2.251668,-3.460802,1.902378,,5.586378,-4.204647,-4.969708,0.432225,,,,,4.889179
5637,urogenital_system,Bladder,-2.85766,1.163152,,,1.283993,6.309175,2.897053,8.67527,5.428228,3.695293,1.590228,4.340671,6.12469,-3.56786,,,2.070477,5.03632,4.901199,-1.646219,0.572493,3.389197,2.469987,,0.014988,6.597356,,,6.625138,-0.509287,2.089273,5.421462,4.679802,-3.541541,,0.129296,-1.467005,6.026836,1.99318,-2.500207,,,5.451051,4.335254,,-5.476844,,-0.690183,6.752896,,-8.623118,-3.446087,3.394058,-3.339342,2.582463,-7.356932,,-0.142797,1.981425,3.098677,6.398778,0.997076,,4.770807,1.16524,,5.211594,,2.117526,0.743357,6.05277,,1.56789,5.545979,1.617203,,,4.248719,-3.433946,6.210027,,6.136569,,2.287455,,-1.226426,0.57336,-3.444114,6.764895,3.941482,-2.535373,,5.39333,6.412843,2.622918,-0.029761,-2.480917,2.543799,2.710025,5.88713,4.908471,,4.909841,1.073086,,2.998122,,,5.586196,,1.4299,2.112783,1.126656,,,,3.250804,5.108025,6.345128,,5.329187,,,,-0.5948,-0.470545,-4.47226,0.028802,,5.202273,-6.957991,-4.885953,0.842123,,,,,2.245837
639-V,urogenital_system,Bladder,-1.644401,4.917448,,,3.378504,3.520059,5.784257,8.147606,2.971307,2.588745,0.897644,1.57601,7.118872,-5.328364,,,2.598223,3.982344,1.564965,-0.5417,0.477092,0.482743,0.356116,,1.634176,5.891891,,,6.322074,-0.009975,2.2273,3.389386,4.004076,-1.51612,,1.974372,-2.544382,5.439736,3.935392,1.21112,,,5.001963,1.408401,,-6.877624,,-0.1242,7.329341,,-6.504898,-4.140576,5.225989,-5.052985,5.158433,-8.430861,,0.007934,0.476316,3.824943,3.874075,-0.287659,,3.227102,1.642985,,1.964959,,1.085983,-1.644358,3.808341,,2.393634,3.019661,-1.515691,,,1.99889,-3.199323,6.122163,,3.894431,,1.740919,,2.539022,-0.082702,-6.342768,3.320014,0.210181,-3.010439,,4.523712,3.779543,3.296742,-1.422128,-1.858149,5.13167,-4.560709,3.054728,1.393553,,4.438087,1.90973,,6.816524,,,5.748009,,0.139562,1.588194,2.19408,,,,5.153717,6.274532,5.214215,,-1.327987,,,,-0.651272,-4.218998,-7.577556,0.176841,,4.378146,-5.352205,-5.019284,0.561851,,,,,4.216765
647-V,urogenital_system,Bladder,3.670938,2.770116,,,4.51045,5.99632,3.973549,6.985218,1.771098,5.436724,-0.383491,5.082682,4.89249,-1.901011,,,5.206664,5.595771,2.485391,-0.96539,0.150126,5.108423,1.98752,,2.235062,6.518363,,,5.457379,3.734885,3.87683,4.935556,4.295224,0.550091,,1.382219,0.006925,5.202491,4.380357,0.183011,,,5.751535,2.272522,,-7.506556,,-0.148046,4.537922,,-5.899519,-3.973586,2.69006,-4.97819,3.200428,-6.025791,,-0.718797,1.127177,1.549719,6.765099,1.824939,,3.981583,4.104004,,4.80015,,0.20147,-8.3018,7.874597,,2.768017,6.70062,-0.912725,,,2.841409,-2.849163,6.820358,,6.250993,,4.178662,,1.908535,2.492977,-2.437398,7.364441,2.267801,-2.344316,,5.372176,6.739784,4.004472,2.264999,-2.262632,2.850407,0.176459,5.881208,4.820989,,2.514321,1.726407,,6.842532,,,3.524362,,2.962772,2.884052,5.789843,,,,5.508971,6.625275,6.258548,,-1.025761,,,,-2.425567,-1.38796,-4.289524,0.834885,,4.956132,-3.717046,-3.868627,1.52285,,,,,5.089975
697,blood,lymphoblastic_leukemia,0.451354,0.909612,-3.416969,0.546769,-2.093952,5.686726,0.416771,6.751864,1.970946,4.017134,-1.667534,2.147127,4.785647,-3.896578,-1.010932,2.585511,1.123213,5.563926,1.236827,-2.680927,-2.452533,0.858777,-0.541497,-4.093687,1.539189,4.000176,1.89592,0.117239,6.894967,2.026392,-0.026393,5.389585,5.315078,0.454861,-6.220779,-1.588857,-3.556708,6.304218,2.006171,-3.86213,1.426799,-3.926549,3.99186,2.070374,-1.228273,-5.352375,3.281494,-5.238184,5.43556,-1.6101,-5.822296,-3.958452,2.954116,-4.56544,3.758046,-6.330375,0.975711,-1.413875,6.323247,4.236408,3.576467,-1.864463,4.798647,3.763822,3.525046,-1.206989,2.890661,-4.618796,4.154314,-5.075682,4.995891,5.503142,1.383336,5.167784,-0.987288,-5.061317,5.351305,2.073136,-4.706255,4.651342,4.88431,4.792804,2.670769,-0.867356,-2.305,-4.027764,-0.398513,-8.961372,6.512799,0.966922,-3.915279,-0.838987,1.119575,0.703687,2.45751,0.527579,-2.9331,-0.094015,0.737921,-2.927686,0.4231,2.223898,2.943149,1.339352,3.359099,1.520395,-6.505565,-0.766623,3.092866,1.28194,1.200157,2.561588,2.983375,-5.070557,2.533753,-1.114841,3.96266,5.387008,5.481048,1.383261,-0.132792,1.95443,-0.48736,2.210293,-2.36671,-4.535688,-7.762804,0.24912,-3.70053,3.66163,-5.198919,-5.466032,-0.902847,1.222729,5.660285,-0.425029,0.816363,-0.058129
786-0,kidney,kidney,-1.872032,5.070854,,,4.799363,4.630483,5.628687,6.983638,0.099687,4.290707,-1.338346,1.12462,5.590093,-5.016548,,,5.36975,2.343401,0.685936,-0.946155,0.085575,3.618441,0.307837,,1.119748,6.08828,,,-1.134041,-0.031449,1.696911,3.025286,4.264852,-2.515225,,2.236473,-3.642731,2.529743,1.801943,0.442904,,,4.73139,1.185534,,-5.294061,,-0.402402,9.701633,,-4.618301,-4.770984,2.405606,-4.352605,2.156649,-9.111513,,-0.708869,1.36566,4.22659,6.416832,0.952578,,2.196877,1.081213,,3.924392,,0.781186,-10.680093,1.199377,,0.548057,5.694329,-1.480044,,,4.775668,-4.707303,5.247821,,5.447729,,1.598727,,-0.441137,-0.747721,-4.267683,1.720193,1.959794,-3.803527,,4.920469,4.614701,2.881177,-0.853474,-7.161312,-0.302996,-0.87372,0.767508,4.313783,,3.711365,1.11771,,3.821004,,,2.196268,,0.231182,0.862558,3.775656,,,,5.985405,4.468061,5.562759,,-1.067848,,,,1.942195,-2.962539,-10.60564,-1.074245,,4.218807,-4.161667,-5.811758,1.566057,,,,,2.383202
8-MG-BA,kidney,kidney,-2.356787,0.440511,-1.813925,1.527345,5.025829,5.1367,1.510932,9.689848,3.330746,4.60009,-0.57882,1.30216,6.474478,-3.971517,1.5793,4.382732,2.162159,4.383997,3.888935,-1.356047,0.684157,1.450813,2.269857,-2.838626,3.609521,6.643915,3.238314,1.369012,6.278033,0.702945,0.67164,2.614488,4.497036,0.391727,-8.294864,1.67575,-0.715491,5.604593,5.255479,-2.087752,3.478315,-2.882383,4.332175,2.568444,3.285983,-6.501008,2.57355,-1.076758,4.834146,-1.867058,-7.207004,-3.81113,4.26488,-4.695065,1.261888,-5.343442,4.377018,-3.060272,1.307636,3.256763,4.014293,1.586286,4.683739,4.326875,2.745357,3.138934,4.897834,-3.944121,1.823547,-5.12769,7.689534,5.293636,2.091196,6.381798,-2.150977,-3.072844,6.536596,4.537876,-3.000733,4.417599,4.651814,5.988425,-0.920379,2.947836,0.253606,3.082169,-1.618962,-2.263335,6.079941,2.621135,-3.290027,0.976122,4.440559,5.959614,2.871572,0.434889,-2.550906,5.442113,0.92916,5.110762,4.685409,5.113995,6.000322,1.680972,5.263778,1.821527,-4.833526,3.064633,3.582369,3.250702,1.263915,3.535253,1.144378,-0.542108,5.123375,2.264228,6.032772,5.067882,5.669715,2.397888,-2.45855,4.917932,1.874118,6.329379,-1.871077,-0.895439,-6.217129,0.757878,2.233068,5.661445,-5.061606,-5.691491,0.84975,3.176337,5.847493,2.532924,3.13358,1.586477
8505C,thyroid,thyroid,-0.090621,4.563162,,,1.363429,4.991043,3.170584,7.602009,3.885984,3.854755,-0.318269,1.064659,5.030631,-4.801899,,,2.773823,4.735432,3.618818,-1.170492,0.218313,1.269953,0.571238,,3.184706,4.37389,,,6.054571,0.307443,1.476377,3.057905,4.584259,0.039199,,1.28979,-3.302266,6.422778,2.807831,-0.833791,,,3.581557,0.904793,,-5.804664,,0.94241,6.518675,,-6.823288,-3.934257,4.519332,-4.84413,2.643935,-7.704692,,-0.36708,0.98058,3.218753,3.805789,2.142061,,3.616993,2.051865,,3.975463,,2.959977,-6.846588,2.420025,,3.612454,5.100886,0.232171,,,3.575368,-4.15771,5.508636,,6.345622,,2.737616,,2.833716,-1.287214,-0.844364,7.153813,3.281925,-3.214476,,1.8839,4.139882,4.000434,0.419454,-3.493371,1.483349,-2.214206,2.319527,5.394318,,4.768899,2.534646,,3.829016,,,4.571465,,1.519179,0.836457,3.063687,,,,,5.418017,6.825427,,1.131232,,,,-1.508292,-2.783749,-9.482214,-0.841428,,4.143611,-5.848863,-5.421782,0.198092,,,,,1.785505
A101D,skin,melanoma,-0.471601,4.657589,-2.02001,1.309715,2.13838,1.831242,5.493372,5.968496,3.671927,4.256395,0.511514,0.799601,4.03344,-3.91842,-5.146661,4.402534,1.979636,4.753336,3.400521,-0.588949,-0.739479,1.599112,1.583242,-3.283888,3.194623,6.494049,1.570763,0.637854,5.218955,-0.023822,1.239986,5.703109,4.687344,-0.478494,-8.397833,1.03247,-2.497247,6.222893,5.324781,-0.960821,3.207037,-3.885263,2.95715,-0.293561,1.342016,-5.516028,7.596732,0.00475,5.095827,0.029973,-5.156745,-2.966523,6.014427,-4.020904,1.85095,-7.063249,3.357381,0.180757,1.514484,1.660197,2.551125,-0.129152,4.13629,2.948218,2.227055,0.62612,3.276928,-4.483364,1.428544,-4.669971,5.43427,4.818467,3.478461,6.257793,-1.405219,-3.630697,5.710975,3.136968,-3.216237,6.492662,3.037769,4.006487,-3.417666,2.550422,-0.908814,1.244383,-0.531213,-1.356913,6.208153,2.128275,-3.748916,0.451798,1.936639,1.271923,4.67541,1.001618,-3.488534,1.64049,-3.700658,1.351009,1.64531,3.911494,6.360256,1.685823,4.450534,-0.303503,-4.646205,2.653394,4.513274,4.284702,2.65585,-0.450368,3.600064,-3.422896,2.908036,0.54541,3.43329,0.518646,4.05623,2.626164,-7.247227,3.062231,1.023543,3.58673,-2.436069,-2.62707,-5.335302,0.623928,0.628048,0.999674,-4.687728,-4.747406,0.108349,2.47222,6.952651,2.026994,-1.200856,2.068346
A172,nervous_system,glioma,-1.478594,4.239858,,,5.187349,5.587954,2.631862,11.70931,3.750824,4.037745,-1.218179,0.768933,4.0089,-3.231504,,,4.774362,,2.692941,0.445764,,1.399333,0.797217,,3.165967,6.331965,,,3.572639,0.42344,1.491937,4.18658,4.275303,3.682026,,5.147565,-0.024638,3.550096,1.994337,0.205387,,,1.323082,3.199806,,-4.551114,,0.354269,6.338046,,-6.18456,-2.518923,3.621937,-3.685606,2.171942,-6.253097,,2.157518,1.777062,1.735285,5.864715,,,3.595799,3.230441,,4.519195,,2.480557,-3.700655,3.889519,,2.579133,6.588484,-0.402003,,,6.762138,-2.210451,4.170789,,5.096615,,,,0.63969,-1.232714,-0.620782,5.01752,2.369674,,,4.925765,0.984278,3.709934,1.626455,-0.11993,3.883326,,,0.532716,,3.595083,2.494913,,6.959038,,,1.318523,,1.817663,,1.77629,,,,6.2499,,6.797138,,-0.75555,,,,-0.230882,-4.090162,-8.277051,2.315222,,4.88761,-4.427928,-4.27436,2.062006,,,,,-0.016014
