Cell Line,Cancer Type,Tissue,17-AAG,681640,A-443654,A-770041,ABT-263,ABT-888,AG-014699,AICAR,AKT inhibitor VIII,AMG-706,AP-24534,AS601245,ATRA,AUY922,AZ628,AZD-0530,AZD-2281,AZD6244,AZD6482,AZD7762,AZD8055,Axitinib,BAY 61-3606,BI-2536,BIBW2992,BIRB 0796,BMS-509744,BMS-536924,BMS-708163,BMS-754807,BX-795,Bexarotene,Bicalutamide,Bleomycin,Bortezomib,Bosutinib,Bryostatin 1,CCT007093,CCT018159,CEP-701,CGP-082996,CGP-60474,CHIR-99021,CI-1040,CMK,Camptothecin,Cyclopamine,Cytarabine,DMOG,Dasatinib,Docetaxel,Doxorubicin,EHT 1864,Elesclomol,Embelin,Epothilone B,Erlotinib,Etoposide,FH535,FTI-277,GDC-0449,GDC0941,GNF-2,GSK-1904529A,GSK-650394,GSK269962A,GW 441756,GW843682X,Gefitinib,Gemcitabine,IPA-3,Imatinib,JNJ-26854165,JNK Inhibitor VIII,JNK-9L,JW-7-52-1,KIN001-135,KU-55933,LAQ824,LFM-A13,Lapatinib,Lenalidomide,MG-132,MK-2206,MS-275,Methotrexate,Midostaurin,Mitomycin C,NSC-87877,NU-7441,NVP-BEZ235,NVP-TAE684,Nilotinib,Nutlin-3a,OSI-906,OSU-03012,Obatoclax Mesylate,PAC-1,PD-0325901,PD-0332991,PD-173074,PF-02341066,PF-4708671,PF-562271,PHA-665752,PLX4720,Paclitaxel,Parthenolide,Pazopanib,Pyrimethamine,QS11,RDEA119,RO-3306,Rapamycin,Roscovitine,S-Trityl-L-cysteine,SB 216763,SB590885,SL 0101-1,Salubrinal,Shikonin,Sorafenib,Sunitinib,TGX221,TW 37,Temsirolimus,Thapsigargin,Tipifarnib,VX-680,VX-702,Vinblastine,Vinorelbine,Vorinostat,WH-4-023,WZ-1-84,XMD8-85,Z-LLNle-CHO,ZM-447439
23132-87,digestive_system,stomach,-0.5397802598,0.4379567491,,,0.5657691813,0.7323021886,1.094214675,0.4131684153,-2.3334168101,-0.8690470775,0.8342915733,-0.7586082488,0.6213596253,0.1118641305,,,0.9337386811,1.2195276833,-1.5860858181,-0.5917668867,-0.461200168,1.0162286878,0.3649068844,,0.4544485046,-0.1830102203,,,-0.5258196342,1.1270530393,0.5459232102,0.4301479237,-1.409098952,-1.0634258825,,0.3143072614,-1.3987382476,0.2323976412,-0.5946658303,-0.2931260783,,,-0.024886268,-0.0750514678,,-0.1900998018,,-1.1571572987,2.513024364,,-0.333868617,-1.2582519947,0.2266739313,0.2968493454,0.0054214696,-0.3378692363,,-1.0075006329,-0.6111285195,-0.1035914277,0.9816828829,-1.047346125,,-0.3826353372,-0.8997737331,,-0.8537946087,,0.8930117965,-0.1416195479,0.7448913763,,-0.3267382729,0.365704012,-0.3219894471,,,-0.8661765355,-0.2506386351,-0.3888304476,,0.9102161157,,-1.3878237835,,-0.8537268354,0.3718809656,-1.0785134254,0.236881992,-0.5392230444,0.6424040672,,0.7779137975,-0.8044734805,0.3316797412,-0.1137820638,0.3767462301,-0.3958803531,0.0373827803,0.6243150722,0.887234615,,-0.7830095476,-0.6063420042,,1.0269634077,,,0.5976385344,,-1.0824936048,-0.4913853964,1.2354239661,,,,,0.7826645881,0.9341059491,,0.203926255,,,,0.0386862474,-0.459306429,0.2200245124,-0.1612120073,,1.0354294869,-0.101747317,-0.6798376999,-0.5068983585,,,,,1.2070118874
5637,urogenital_system,Bladder,-1.0806825207,-1.1856128995,,,-0.4066053895,0.8789914339,-0.9967362066,0.2743233432,1.2165451164,-0.4016626839,0.0612697242,0.5529558898,0.5163853336,-0.5705458729,,,-1.9743866629,0.6787178556,1.0536291212,-0.7420054331,0.2665286077,0.1719499988,-0.0894888368,,-1.3110246903,0.6644265718,,,1.3181291002,-0.7258770677,-0.1245997598,0.4285292804,0.3591328172,-1.5258387033,,-1.3590097529,-0.1351639151,0.4828013277,-1.0152427167,-1.2071547992,,,0.6112268981,0.7943942744,,-0.6447675839,,-0.630078425,0.0741091694,,-2.0521453659,-0.8916097724,-0.9437596446,-0.1975692933,-0.3903170658,-1.0883466777,,-0.7843510935,-0.1504601429,-0.4522298256,0.5416199962,-0.4204508979,,0.8543399776,-1.4582241214,,0.8955508199,,-0.1654964215,0.8190945394,0.2553090549,,-1.1950932528,-0.4185593011,1.1598644064,,,-0.5257615101,-0.459194638,0.0037019939,,0.7107835344,,-0.1355338567,,-0.7442639031,-0.1367587202,-1.0582257021,0.1433733515,0.3309798625,-0.1058705545,,0.7393355938,0.934068931,-0.3699504704,-1.3866255286,-0.6174025585,-0.5212472864,1.1107338724,1.5661482733,0.6390822642,,-0.0408941462,-1.1659803731,,-1.046719771,,,0.689534805,,-1.2723485496,-0.0859307327,-2.2830249867,,,,-2.0816159793,0.0385969425,0.4114076388,,2.4205661011,,,,0.0591073644,0.3604244167,-0.1278159126,-0.9848562172,,0.6866612361,-1.6626232702,-0.6387906498,-0.1923490412,,,,,-0.386428395
639-V,urogenital_system,Bladder,-0.5734867386,1.1775337483,,,0.4543728683,-1.9898446549,0.9482430772,-0.0463118835,-0.3126932774,-1.2434241022,-0.1900852445,-0.9704242816,1.0820169123,-1.4856125429,,,-1.5989832791,0.1748071776,-0.9156473387,-0.1381146775,0.1953734124,-1.4331402603,-1.1965513552,,-0.3872335089,0.0884418593,,,1.0572269147,-0.5098476065,-0.0425869072,-0.8433988419,-0.743721586,-0.906593002,,-0.3902732742,-1.0074525132,-0.1167924679,0.2675627566,0.8594109862,,,0.2995793505,-0.6909295062,,-1.2825027565,,-0.3552586574,0.3988492479,,-0.9483348691,-1.2422089869,0.4776225049,-0.9526296836,1.4113123987,-1.5494058102,,-0.7229245956,-1.1034431378,0.2169162733,-1.5178760429,-1.0669509426,,-0.6453721618,-1.2301690142,,-1.5974517228,,-0.8963304561,0.2292102278,-0.8249784104,,-0.5736330526,-2.8977856446,-1.0612000065,,,-2.1937543583,-0.300796503,-0.0761743116,,-1.4514451034,,-0.4212806295,,0.8844949757,-0.4839988665,-2.3705617427,-2.8439506934,-2.4543898001,-0.4272489268,,0.2467967201,-0.4230085903,-0.0407844182,-2.0066128006,-0.3473609818,0.9669044629,-1.831898839,0.2150780923,-1.8460173257,,-0.4261309734,-0.6213767268,,1.0620223874,,,0.7753868949,,-1.927689813,-0.2958298342,-1.5682980897,,,,-0.493555851,0.7243936743,-0.7004844576,,-0.7990655689,,,,0.0222349601,-1.364735804,-1.195727265,-0.9197766767,,-0.0616480343,-0.752300131,-0.7041341425,-0.4074253925,,,,,0.8016721493
647-V,urogenital_system,Bladder,1.6485594374,-0.1741072564,,,0.9196752205,0.5571942356,-0.271549341,-0.7526373859,-1.059728157,0.9230601736,-0.6550391675,0.9618178965,-0.1846646062,0.2958412321,,,0.2564880606,0.9461939012,-0.3723481412,-0.3697652641,-0.0484954107,1.121393171,-0.3421632583,,-0.0444115588,0.5999318621,,,0.3128270013,1.1103820055,0.9375304668,0.1243883397,-0.2685380741,-0.2748762972,,-0.7011765714,1.058190253,-0.3590861658,0.5614562849,0.2869324946,,,0.8197497303,-0.2524040761,,-1.568837554,,-0.3668373659,-1.1736956181,,-0.6328701417,-1.1579073452,-1.4899866534,-0.9196737285,0.0418867067,-0.5168613051,,-1.0190849097,-0.6913404495,-1.8793642407,0.8404419363,-0.0038564511,,0.0876074649,-0.0553834029,,0.5796141845,,-1.522995757,-1.4155089247,1.1321899328,,-0.2918700194,0.7145586929,-0.6337274125,,,-1.5691221456,-0.0643972967,0.5585479536,,0.8211294853,,0.8532505909,,0.6117754217,0.8792551442,-0.6024452987,0.6632862837,-0.9184021312,0.0233779872,,0.7273542787,1.1025587657,0.3049448673,-0.364824529,-0.5227508976,-0.3449327671,0.0853416372,1.5633234491,0.5772311819,,-1.9970885278,-0.7407086938,,1.0763855074,,,-0.4043992917,,-0.4938282913,0.2226702294,0.8393567234,,,,-0.1970815966,0.9305976689,0.3262838338,,-0.6528989821,,,,-1.1362599134,-0.061799862,-0.0649729988,-0.6304934395,,0.4631646244,0.1746746179,-0.1402146689,0.330030217,,,,,1.328054278
697,blood,lymphoblastic_leukemia,0.3026313008,-1.3452039922,-1.6063414754,-1.1846791492,-1.7951572763,0.2387512451,-2.6675904684,-0.8944350311,-0.9353386326,-0.1568352235,-1.1210484718,-0.6557280808,-0.2454520423,-0.7414054027,-1.4182759018,-0.6290528315,-2.6482072335,0.9309686631,-1.1093371215,-1.3077273409,-1.9896984331,-1.2254753495,-1.66664329,-1.2941469868,-0.4414261987,-1.456069804,-1.1385712358,-1.0120794502,1.5504198897,0.3711952401,-1.3816857202,0.4085766543,1.3959686558,-0.3039916111,-0.4951516965,-2.2611067326,-1.8270731543,0.766086162,-1.0066623321,-1.9655098227,-1.6348638647,-1.3551112293,-0.4013882164,-0.3549904484,-2.8205469381,-0.588100399,-2.037380648,-2.8384143253,-0.6680115813,-0.8660196697,-0.5926290157,-1.1502672408,-1.2851074932,-0.7378090249,0.4318838801,-0.6476252894,-2.0011064656,-1.3023458671,2.5986314732,0.5960200722,-1.7606461815,-1.8604249714,0.2787929539,-0.123947732,-0.3317532838,-1.9981191275,-0.8866303832,-1.1747123559,1.2775398762,-0.6184973904,-0.253387427,0.4794009237,-1.33398977,-0.7897045833,-0.6865888326,-1.3754023756,-0.8530830963,-2.1387093762,-1.3181529361,-1.4132833382,0.3803805077,-0.5850899424,0.4703723402,-1.7849715186,-1.619725902,-1.9559933282,-0.6511511445,-3.5561080014,-0.0752386826,-1.8894920811,-1.0393659935,-1.0019866967,-1.6812565215,-2.0081584161,-0.4507530217,-1.1384555373,-0.813475912,-2.038118691,0.3125781785,-2.6385638575,-2.5321421093,-1.1864403999,-1.6469053006,-0.9926576283,-1.01771375,-1.8628059828,-1.5399084332,-3.4599766085,-0.6333353685,-1.4272562221,-1.3890312079,0.0936455951,-1.0398011043,-1.485815326,-1.5119709024,-1.4804720894,-1.4875425084,0.2026127861,-0.4381393402,-1.7614373528,-0.221029352,-0.9489748929,-1.5448011179,-1.8692145929,-1.0978302651,-1.5104868619,-1.2594340556,-0.888002049,-2.3384257699,-0.7122462614,-0.6654020059,-0.9230785343,-1.5314117405,-0.6409895007,0.1260166878,-2.141919299,-0.9686131267,-1.7752884947
786-0,kidney,kidney,-0.668646538,1.2740953605,,,1.0384369799,-0.8476818889,0.8434425757,-0.7535974735,-2.100048897,0.0512743176,-1.00157843,-1.2191486552,0.2122308175,-1.3235382569,,,0.3724965879,-0.6087788606,-1.4345111585,-0.359248615,-0.0966410173,0.2985500796,-1.2218357133,,-0.6807287978,0.2487858334,,,-5.3616044192,-0.5191384239,-0.357733327,-1.071298305,-0.3181083051,-1.2120561509,,-0.2526600811,-1.8967209026,-3.0887116435,-1.1415522392,0.4316478435,,,0.1118134519,-0.8040303879,,-0.5615516984,,-0.4903429426,1.7352790727,,0.0347762203,-1.5604581596,-1.7106924758,-0.6440302868,-0.6881307239,-1.8416232851,,-1.0150390116,-0.540341257,0.5869742454,0.5563473291,-0.4428430324,,-1.6462375725,-1.498335031,,-0.0928565184,,-1.1122749405,-2.0030655339,-2.0807236831,,-1.962626072,-0.2729746091,-1.0359280748,,,-0.1350886352,-1.3188604594,-0.8710300966,,0.046493658,,-0.4956232256,,-0.4045841542,-0.835979769,-1.4310881688,-4.2312798177,-1.1483255154,-0.9637666539,,0.4715140626,0.0073921041,-0.2437897883,-1.7534049595,-2.6468922644,-2.1582929349,-0.3396898766,-0.8759374978,0.2186289549,,-1.0195760264,-1.1369329012,,-0.5922767959,,,-1.1090376429,,-1.881157535,-0.5861720725,-0.5093047498,,,,0.2005224132,-0.3376418796,-0.3578026431,,-0.6732536608,,,,1.715593857,-0.7864724282,-2.2370854091,-1.4697675711,,-0.2063282241,-0.0773818732,-1.0925135822,0.3631865934,,,,,-0.3036230204
8-MG-BA,kidney,kidney,-0.8712955119,-1.6404802452,-0.8165075155,-0.7985913317,1.1315290201,-0.3269959087,-1.930503488,0.8908320438,-0.0889710173,0.2866248608,-0.7259286403,-1.1213207785,0.7153943064,-0.7803568514,-0.4440270664,0.2615631308,-1.9091701894,0.366839288,0.456120773,-0.5833552077,0.3498136229,-0.8985232572,-0.1942995948,-0.7383311422,0.7397550132,0.702440183,-0.3567998869,-0.504530172,1.0193128333,-0.2013997353,-0.9669286252,-1.3284272356,0.060839888,-0.3232939972,-1.4095964111,-0.5470614091,0.473292636,0.0515727755,1.1394628524,-0.9774888627,-0.3857001921,-0.7960867469,-0.1652244019,-0.1022291326,-0.2038589106,-1.1110402358,-2.5204597892,-0.8177845074,-1.0068179367,-0.9315187498,-1.3142043126,-1.0758946049,-0.2680950884,-0.7949240151,-1.3139251941,-0.2239152743,0.0045584637,-1.9732921357,-0.5770800483,-0.3065770893,-1.4034948996,-0.1239506147,0.185707314,0.4230592539,-0.7039435914,-0.1253061643,0.6546230662,-0.8982327893,-0.3737765016,-0.631345952,1.0431155004,0.3262468354,-0.8012498201,0.4016796724,-1.5115858563,-0.6362256326,0.6519138101,-0.3113844139,-0.1667248832,-1.6257768199,0.2479778271,0.5679193578,-1.0249803286,0.2097347798,-0.4848780994,1.11943528,-1.2971097419,-0.5236400504,-0.4506034953,-0.6546427067,-0.6163879861,-0.2631611103,0.1997000812,0.7004962701,-0.2484818739,-1.1797281474,-0.6477508421,1.1454242939,0.3899769855,1.1958167828,0.4813740944,0.6267449509,0.8495984423,-0.7702840768,0.3766926568,-1.6965034972,-0.9014142048,-1.0574671902,-0.3736228882,-0.5766664255,-1.3566495774,0.4832294573,-2.2711586711,0.0257493222,0.0312073592,0.128028162,0.2400521469,0.0149966227,-0.2526455435,-1.1767507191,-1.3458435921,0.6631967004,-0.5407714549,0.3718387595,-0.7742153704,0.1648743519,-0.7278763943,-0.6643465469,-0.0716702113,1.103590501,-0.5875590049,-1.0335725569,-0.1864962006,-0.0855871859,0.2366115771,-0.5368818843,0.3106996214,-0.7838990154
8505C,thyroid,thyroid,0.0760618429,0.9545279508,,,-0.3739521024,-0.4768161594,-0.8124706928,-0.3778441043,0.2566205859,-0.2803584483,-0.6313685748,-1.2521882932,-0.1060704334,-1.2119689872,,,-1.474073125,0.5348619461,0.2966790044,-0.4819038527,0.0023621201,-0.9984032568,-1.0838890862,,0.4973863996,-1.1509468696,,,0.8269385355,-0.3725153583,-0.4887701708,-1.0508812422,0.2031968043,-0.4310747739,,-0.7497053822,-1.6210664775,0.8871691809,-0.4771764491,-0.2792499582,,,-0.6861206602,-0.9465012546,,-0.7940146778,,0.1626464958,-0.0578391448,,-1.1142488082,-1.1380528673,-0.070667603,-0.8606046015,-0.3473236434,-1.2376469796,,-0.8757517958,-0.7841606028,-0.341597651,-1.5735795242,0.1557246198,,-0.2665923653,-1.0349871238,,-0.0536404893,,0.4313685306,-1.055999214,-1.4932019865,,0.3436586517,-0.8553555757,0.1779463186,,,-1.0249748514,-0.9478205092,-0.6339257237,,0.9123859262,,0.0998249357,,1.0119659882,-1.121522337,0.1187846004,0.4806343753,-0.1613712125,-0.5652783352,,-1.2483540578,-0.2373070155,0.3029722861,-1.1866009787,-1.056417849,-1.1310576373,-0.8822152877,-0.1356165295,0.9825833588,,-0.1559881335,-0.2145949507,,-0.5878521067,,,0.1511554593,,-1.2270052267,-0.596615632,-0.9860257099,,,,,0.2208431703,0.8836284569,,0.3902948678,,,,-0.5373412527,-0.704187444,-1.8507391867,-1.3674187077,,-0.2746063705,-1.0338564963,-0.9013922831,-0.6865683626,,,,,-0.6639223977
A101D,skin,melanoma,-0.0832046032,1.0139651525,-0.9180474181,-0.8842800409,-0.055397575,-3.7269323762,0.7522869553,-1.3704488889,0.1233870864,0.0251728581,-0.3302208729,-1.3982402328,-0.6734139576,-0.752758337,-2.9738234982,0.2713760461,-2.0390049049,0.5434219292,0.1678249902,-0.163947854,-0.7120106522,-0.8166250815,-0.5538890546,-0.9355197048,0.5030443202,0.5800804275,-1.3279332461,-0.8009886474,0.1075721947,-0.5158385699,-0.6292289234,0.6048193108,0.3714421377,-0.5893525665,-1.454994482,-0.8848083647,-0.9692900844,0.6830305234,1.1852359116,-0.3499836477,-0.5508807818,-1.3330075745,-1.1194319716,-1.5546437523,-1.3306791828,-0.6626069412,0.9072046116,-0.2926454534,-0.8594000417,-0.4479619606,-0.2458084872,-0.6495112485,1.0893659052,-0.4978771577,-0.9019361353,-0.9622627101,-0.5966957516,-0.6524950777,-0.4461110443,-1.7775751955,-2.5970565583,-0.9871875808,-0.2577747804,-0.9163084613,-0.9513588823,-1.208167189,-0.59002648,-1.1192127737,-0.6536306969,-0.5182666033,-0.0423870617,-0.0211135028,0.2428146654,0.2799861791,-0.9828809098,-0.8435967981,-0.3964001068,-1.349998693,-0.3122154434,0.2606427159,-0.6711944797,-1.3433827574,-2.0648496907,0.0019538323,-1.000459546,0.3244939437,-0.7213865299,-0.1132667328,-0.3394209057,-1.0225565501,-0.9268227465,-0.4765829967,-1.2184834622,-1.7153166197,0.6327010954,-0.927377462,-1.054320453,-1.0406939159,-1.483816485,-0.5976045487,-1.6680213618,-0.1276785849,1.1435224623,-0.7671263749,-0.2186793948,-2.8700678178,-0.8298827529,-1.3153475226,0.1202814321,-0.1299339867,-0.6497088832,-1.1115014022,-0.6268778279,-0.9358375919,-1.288932409,-0.6901614592,-1.9293238143,-2.6595275601,-1.8389932282,-1.0452049136,-3.6618077123,-0.3463212409,-0.9024104499,-1.1203424515,-1.1431170105,-0.6320786626,-0.4246160725,-0.7232324112,-0.6848206146,-3.129308622,-0.3756068552,-0.5708908749,-0.7554357378,-0.2857646072,0.8894940751,-0.8114084164,-2.0822999252,-0.4934222343
A172,nervous_system,glioma,-0.5041720984,0.7510238148,,,1.1979240919,0.137156088,-1.1753834381,2.1179588824,0.1724942093,-0.1411562429,-0.9579670088,-1.4151388772,-0.6873757865,-0.3957162986,,,-0.0510228132,,-0.249837751,0.4017767876,,-0.9269531056,-0.9655408612,,0.4866952859,0.4477451506,,,-1.3097107638,-0.3223287627,-0.4795247334,-0.344414814,-0.3010511971,0.6826714351,,1.2757761531,1.0326355539,-2.0466449971,-1.0144785334,0.2993920477,,,-2.2534041211,0.2181754086,,-0.223309124,,-0.1229323518,-0.1595964254,,-0.7814058216,-0.4235491261,-0.7669499597,-0.350139129,-0.6774348232,-0.6144483031,,0.1530824452,-0.2798557307,-1.7083927716,0.1059645417,,,-0.2871823738,-0.4723851583,,0.3638764963,,0.0917060513,-0.2787973612,-0.7859058553,,-0.4340253223,0.6045129563,-0.2716511791,,,1.3376534057,0.3668084658,-1.8501493838,,-0.2921067073,,,,0.0629316826,-1.092676606,0.220009071,-1.3719113138,-0.8423552071,,,0.4745136393,-1.8635551659,0.1610617306,-0.6491526929,0.4063569346,0.2490459192,,,-2.4546419581,,-1.1145325265,-0.2404586833,,1.1407268507,,,-1.5747372015,,-1.0754101549,,-1.8480423622,,,,0.4212545033,,0.8558152515,,-0.5222159185,,,,0.2967212546,-1.3054412784,-1.4362836085,0.0202786662,,0.4009464859,-0.2283257408,-0.3390582338,0.7437701029,,,,,-1.7499010354
